Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
7.430385	-16.99	-11.92	-3.71	-0.92	7.11	6.45	9.17	12.97	16.97	18.14	19.45	26.46	30.64	31.17	37.54	37.89	38.60	40.04	45.09	45.47	43.64	42.50	39.18	37.51	41.70	44.77	47.10	39.43	37.75	54.24
7.523265	-17.15	-10.40	-5.68	1.95	6.55	6.46	7.31	10.52	17.47	18.91	20.76	25.21	31.05	32.38	37.19	37.86	39.28	39.55	45.43	45.53	43.42	42.41	40.07	37.41	41.36	45.14	47.16	39.52	37.30	54.33
7.616145	-19.33	-9.45	-7.06	2.22	7.91	6.49	13.31	12.75	18.62	20.43	21.07	27.02	30.74	33.41	37.22	38.38	40.73	39.80	46.02	46.10	43.92	43.01	40.21	38.42	41.15	45.49	47.71	39.43	37.34	54.80
7.709025	-19.96	-10.70	-7.46	2.70	5.94	6.46	11.43	13.98	17.21	19.97	21.56	26.67	30.68	32.80	37.19	38.45	40.08	40.82	45.80	45.87	44.07	43.68	40.33	38.57	41.36	45.13	47.68	39.17	37.17	54.78
7.801905	-18.95	-13.09	-6.06	0.11	4.24	6.01	10.00	11.96	18.07	18.68	19.85	25.84	29.84	31.57	37.10	38.19	39.01	40.46	45.44	45.84	43.54	43.16	39.67	38.44	40.96	44.79	47.46	39.35	36.90	54.45
7.894785	-20.18	-9.54	-7.67	-0.96	5.02	8.67	9.08	11.28	19.62	18.77	19.59	26.99	30.76	31.56	37.29	38.58	39.76	40.29	45.50	46.30	44.23	43.60	40.03	38.08	41.49	44.94	47.74	39.19	37.23	54.75
7.987664	-17.97	-10.43	-7.74	-1.14	7.23	7.52	12.59	12.52	19.49	18.70	21.09	25.98	29.89	30.70	36.82	37.35	39.38	40.70	44.69	45.21	43.78	42.68	39.58	36.97	41.73	44.87	47.06	38.77	37.03	54.18
8.080544	-12.89	-11.34	-4.29	0.32	7.17	10.45	10.21	11.32	19.00	17.36	20.07	25.58	31.05	32.33	35.42	36.72	39.37	42.53	45.52	45.53	43.62	42.44	39.75	37.91	41.53	45.15	47.66	39.11	37.57	54.55
8.173424	-14.23	-5.48	-0.68	0.13	6.23	8.87	9.62	11.08	19.07	17.97	22.00	26.05	30.88	32.93	35.39	37.82	39.89	42.23	45.71	44.71	42.88	42.42	39.79	37.91	41.71	44.98	47.30	39.18	37.55	54.37
8.266304	-13.11	-7.02	-1.64	-1.12	5.24	6.85	8.43	12.46	20.17	19.16	22.76	27.53	31.27	32.86	35.38	38.04	40.35	42.20	46.15	45.05	43.47	42.38	39.79	38.05	41.23	45.20	47.49	39.05	37.21	54.56
8.359184	-11.97	-2.11	4.50	8.66	20.04	19.21	22.71	24.07	25.58	27.26	26.05	28.92	32.42	33.43	36.83	38.08	39.25	42.43	45.77	46.23	44.67	41.94	39.07	39.37	41.16	45.21	47.62	39.17	37.22	54.81
8.452063	-13.69	-3.23	3.09	8.13	17.24	17.76	20.31	22.36	24.41	26.24	26.00	28.98	32.58	34.56	36.92	38.38	40.90	42.86	45.92	46.49	45.23	42.86	39.61	42.02	42.93	48.78	49.71	40.06	37.65	56.20
8.544943	-15.59	-6.07	1.64	7.09	15.35	14.88	17.39	19.41	21.78	24.19	24.22	27.64	32.36	33.81	36.93	38.12	40.27	42.14	45.40	45.80	45.37	42.48	38.65	41.19	42.49	47.65	49.20	39.58	37.55	55.60
